index,x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),lambda(nm),freq(THz)
510,118.0047,0.1443,-0.003349757296618086,-0.0029497572966180885,-0.002781287862534121,,780.2414869302327,384.23034793945374
511,118.0238,0.145,-0.0034726398614491893,-0.0030726398614491918,-0.0030734170348844514,,780.2415046976745,384.2303391898674
512,118.0427,0.1459,-0.0035952828182715807,-0.003295282818271579,-0.0032645815038593873,,780.2415222790698,384.2303305319002
513,118.0634,0.1464,-0.003820082247172292,-0.0035200822471722903,-0.0036644283032128966,,780.2415415348838,384.2303210493652
514,118.083,0.1472,-0.00394356383202514,-0.0037435638320251416,-0.00395896923400163,,780.2415597674419,384.2303120707334
515,118.0996,0.1476,-0.0041634512967474585,-0.003863451296747457,-0.0041390396141595676,,780.2415752093024,384.23030446638234
516,118.1213,0.1483,-0.004289448765691699,-0.0040894487656917,-0.004043709930390049,,780.2415953953489,384.2302945257552
517,118.1397,0.1487,-0.004511492702492334,-0.004311492702492335,-0.0037324626409264705,,780.241612511628,384.23028609683666
518,118.1588,0.1488,-0.0046343752673234095,-0.004434375267323411,-0.0032245918132768336,,780.2416302790698,384.23027734725326
519,118.1777,0.1495,-0.004757018224145794,-0.004557018224145795,-0.002715756282251791,,780.2416478604652,384.23026868928883
520,118.1984,0.1499,-0.004981817653046512,-0.0047818176530465065,-0.0024156030816052665,,780.2416671162791,384.23025920675684
521,118.2177,0.1502,-0.0052049398258862956,-0.005004939825886297,-0.0022086969573309467,,780.2416850697675,384.2302503655559
522,118.2384,0.1511,-0.005329739254787004,-0.005229739254787008,-0.0023085437566845446,,780.2417043255814,384.23024088302486
523,118.2567,0.1517,-0.00555166338758329,-0.005451663387583287,-0.0027968141155332304,,780.2417213488372,384.23023249991803
524,118.2742,0.1522,-0.005772629088344777,-0.005672629088344774,-0.003081225660880371,,780.241737627907,384.23022448328624
525,118.2941,0.1527,-0.005996470085210669,-0.005896470085210666,-0.0033772136467323244,,780.2417561395349,384.230215367231
526,118.3127,0.1534,-0.00611875363002002,-0.006118753630020013,-0.0036669310606441963,,780.2417734418606,384.2302068466973
527,118.3316,0.154,-0.006341396586842407,-0.006341396586842407,-0.003758095529619032,,780.2417910232558,384.2301981887361
528,118.3495,0.1546,-0.00656284150362129,-0.00656284150362129,-0.0034444364817170503,,780.2418076744186,384.2301899888684
529,118.3693,0.1551,-0.006686562696482823,-0.006786562696482826,-0.003039942115881211,,780.2418260930233,384.2301809186241
530,118.3901,0.1558,-0.006911481929387897,-0.007011481929387893,-0.0025402712669225225,,780.2418454418605,384.2301713902872
531,118.4093,0.1563,-0.007134484298223352,-0.007234484298223348,-0.002032882790960422,,780.2418633023257,384.2301625948995
532,118.4269,0.157,-0.007255569802989165,-0.0074555698029891634,-0.001917776687995365,,780.2418796744187,384.2301545324613
533,118.4451,0.1578,-0.007377374131781092,-0.007677374131781094,-0.0019055646951564031,,780.2418966046512,384.23014619516766
534,118.4644,0.1589,-0.007600496304620875,-0.007900496304620877,-0.0020986585708820393,,780.2419145581396,384.23013735397194
535,118.486,0.1604,-0.007726373969560767,-0.008126373969560764,-0.002502846535424874,,780.2419346511629,384.2301274591627
536,118.5047,0.1619,-0.00784877731837444,-0.008248777318374444,-0.003093046301024416,,780.2419520465116,384.23011889282367
537,118.5233,0.1639,-0.00797106086318379,-0.00847106086318379,-0.003282763714936243,,780.2419693488373,384.2301103722943
538,118.542,0.1669,-0.007993464211997467,-0.008693464211997466,-0.0032729634805357954,,780.2419867441861,384.23010180595605
539,118.5637,0.1715,-0.008019461680941711,-0.008819461680941713,-0.00287763379676631,,780.2420069302326,384.2300918653393
540,118.5821,0.1802,-0.007841505617742321,-0.00904150561774232,-0.002266386507302709,,780.2420240465117,384.2300834364297
541,118.6019,0.1956,-0.007565226810603884,-0.009165226810603881,-0.0018618921414668699,,780.2420424651164,384.2300743661905
542,118.62,0.2039,-0.007386911335391481,-0.00928691133539148,-0.0016491977969403382,,780.2420593023256,384.23006607470955
543,118.6389,0.1872,-0.008009554292213866,-0.009409554292213865,-0.0015403622659152516,,780.242076883721,384.2300574167547
544,118.6573,0.1776,-0.008531598229014503,-0.009631598229014507,-0.0016291149764516843,,780.2420940000001,384.23004898784654
545,118.6767,0.174,-0.008854840205858645,-0.009754840205858643,-0.0019226912038650679,,780.2421120465117,384.23004010084605
546,118.6985,0.1733,-0.00898095747880722,-0.009880957478807219,-0.002327843871783253,,780.2421323255815,384.23003011442324
547,118.715,0.1744,-0.009100725139525173,-0.010000725139525171,-0.0028074319002534542,,780.2421476744187,384.2300225558927
548,118.7349,0.1779,-0.00902456613639107,-0.010124566136391067,-0.0031034198861052964,,780.2421661860466,384.23001343984697
549,118.7539,0.1854,-0.008847328897217809,-0.010147328897217811,-0.003095066706767957,,780.2421838604652,384.2300047360852
550,118.7723,0.2007,-0.008369372834018451,-0.01026937283401845,-0.0027838194173043784,,780.2422009767442,384.2299963071794
551,118.789,0.2388,-0.007289380102745116,-0.010389380102745115,-0.0022643721491499846,,780.2422165116279,384.22998865703164
552,118.8115,0.2481,-0.007016336003724151,-0.010416336003724151,-0.001572901278882044,,780.2422374418605,384.2299783499467
553,118.8288,0.2148,-0.008137062096476931,-0.010437062096476928,-0.0012563481208538452,,780.2422535348837,384.229970424944
554,118.8478,0.2021,-0.008659824857303676,-0.010559824857303675,-0.0011479949415164614,,780.2422712093024,384.22996172118405
555,118.8662,0.2069,-0.008481868794104314,-0.010581868794104311,-0.0012367476520528942,,780.2422883255814,384.2299532922803
556,118.884,0.2185,-0.00810319390687881,-0.010603193906878812,-0.0014226062524631544,,780.242304883721,384.22994513823227
557,118.9054,0.2007,-0.00872883196380999,-0.010628831963809988,-0.001725829513630539,,780.2423247906977,384.2299353350515
558,118.9233,0.1878,-0.009250276880588874,-0.010650276880588873,-0.00211217046572848,,780.2423414418605,384.229927135195
559,118.943,0.1826,-0.009373878269446079,-0.010673878269446081,-0.0024071937482050276,-0.010673878269446081,780.2423597674419,384.22991811077236
560,118.9627,0.1842,-0.009297479658303263,-0.010597479658303259,-0.002702217030681464,,780.2423780930233,384.2299090863502
561,118.9841,0.198,-0.008723117715234437,-0.01052311771523444,-0.0028054402918488708,,780.2423980000001,384.2298992831712
562,119.0031,0.1933,-0.008845880476061184,-0.010445880476061181,-0.0024970871125115646,,780.2424156744187,384.2298905794146
563,119.022,0.1834,-0.009168523432883567,-0.01046852343288357,-0.002088251581486511,,780.242433255814,384.2298819214676
564,119.0424,0.1855,-0.009092963449771244,-0.01039296344977124,-0.0015866513257768444,,780.2424522325582,384.22987257638243
565,119.0595,0.1981,-0.008613449934515308,-0.010313449934515308,-0.0013691334643732844,,780.2424681395349,384.22986474300257
566,119.0811,0.2035,-0.008339327599455194,-0.010239327599455193,-0.0010733214289160853,,780.2424882325582,384.22985484820737
567,119.0987,0.1769,-0.009160413104220985,-0.010160413104220986,-0.0008582153259508729,,780.2425046046512,384.22984678578206
568,119.1177,0.1643,-0.009483175865047731,-0.010083175865047728,-0.0010498621466135671,,780.2425222790698,384.22983808202787
569,119.1371,0.1571,-0.009606417841891896,-0.009906417841891897,-0.0014434383740269952,,780.2425403255814,384.2298291950371
570,119.1582,0.15,-0.009731696486810007,-0.009831696486810003,-0.0020452145801311827,,780.2425599534885,384.2298195292899
571,119.1763,0.1554,-0.009353381011597571,-0.009653381011597573,-0.0024325202356045295,,780.2425767906977,384.2298112378199
572,119.1947,0.1561,-0.009175424948398209,-0.00947542494839821,-0.0024212729461410842,,780.2425939069768,384.2298028089226
573,119.2139,0.1556,-0.009098427317233669,-0.009398427317233664,-0.002213884470179006,,780.2426117674419,384.229794013552
574,119.231,0.155,-0.008918913801977735,-0.00921891380197773,-0.0018963666087754016,,780.2426276744187,384.22978618017527
575,119.2521,0.1542,-0.00884419244689584,-0.00904419244689584,-0.0014981428148796994,,780.2426473023256,384.2297765144303
576,119.274,0.1536,-0.00867042952384877,-0.008870429523848769,-0.0009037778344856418,,780.2426676744186,384.22976648221197
577,119.2904,0.1529,-0.008590077380562396,-0.008690077380562398,-0.0005828835112681174,,780.2426829302326,384.2297589695009
578,119.3093,0.1523,-0.008412720337384758,-0.008512720337384753,-0.00047404798024297534,,780.242700511628,384.2297503115599
579,119.33,0.152,-0.008237519766285499,-0.008237519766285499,-0.0006738947795964512,,780.2427197674419,384.2297408290534
580,119.3493,0.1517,-0.008060641939125285,-0.008060641939125285,-0.0008669886553221984,,780.2427377209303,384.2297319878764
581,119.3662,0.1515,-0.00788088881586066,-0.0077808888158606634,-0.0009485060905431997,,780.2427534418605,384.2297242461207
582,119.386,0.1511,-0.007704610008722197,-0.007604610008722201,-0.0013440117247073835,,780.2427718604652,384.2297151758984
583,119.4048,0.1508,-0.007527133161540231,-0.007427133161540228,-0.0018346938419945835,,780.2427893488373,384.22970656376856
584,119.4231,0.1503,-0.00734905729433654,-0.0072490572943365375,-0.002022964200843469,,780.2428063720931,384.229698180685
585,119.4422,0.1497,-0.007171939859167614,-0.0069719398591676085,-0.002015093373193666,,780.242824139535,384.22968943112835
586,119.4608,0.1493,-0.006994223403976964,-0.006794223403976958,-0.0018048107871056485,,780.2428414418605,384.229680910618
587,119.4809,0.1488,-0.006718304008851567,-0.006518304008851568,-0.0015017634763329069,,780.242860139535,384.2296717029702
588,119.5,0.1485,-0.006441186573682638,-0.006241186573682639,-0.00089389264868317,,780.2428779069768,384.22966295341473
589,119.5185,0.1484,-0.006263350314487631,-0.00596335031448763,-0.0005831277109074051,,780.2428951162791,384.22965447871474
590,119.539,0.1484,-0.00598791013537963,-0.005787910135379631,-0.0003820098068854638,,780.2429141860466,384.22964508783144
591,119.5584,0.148,-0.0058111521122238,-0.005511152112223798,-0.0002755860342989469,,780.2429322325582,384.2296362008496
592,119.5781,0.1477,-0.0055347535010810064,-0.005234753501081005,-0.00027060931677541644,,780.2429505581396,384.22962717644066
593,119.5974,0.1476,-0.0053578756739207645,-0.005057875673920763,-0.00046370319250105263,,780.242968511628,384.2296183352688
594,119.6166,0.1473,-0.005080878042756247,-0.004780878042756245,-0.0011563147165392085,,780.2429863720931,384.2296095399066
595,119.6359,0.1473,-0.004904000215596033,-0.004604000215596031,-0.0016494085922648671,,780.2430043255814,384.2296006987356
596,119.655,0.1473,-0.004726882780427107,-0.004426882780427105,-0.0019415377646151977,,780.2430220930233,384.2295919491834
597,119.6745,0.1473,-0.004450244561275601,-0.0041502445612756,-0.0019355963437162615,,780.2430402325582,384.2295830163948
598,119.6931,0.1472,-0.004272528106084951,-0.003972528106084949,-0.001825313757628233,,780.2430575348837,384.2295744958892
599,119.7111,0.1472,-0.0040940928268681925,-0.003794092826868191,-0.001512137061413843,,780.2430742790698,384.22956625023903
600,119.7297,0.1473,-0.0038163763716775115,-0.0036163763716775127,-0.0007018544753256695,,780.2430915813954,384.2295577297341
601,119.7504,0.1474,-0.003641175800578225,-0.0034411758005782264,-1.701274679133391e-06,,780.2431108372093,384.2295482472373
602,119.7686,0.1472,-0.0034629801293701787,-0.003262980129370173,0.0001105107181598175,,780.2431277674419,384.22953990996984
603,119.7873,0.1471,-0.0032853834781838565,-0.0030853834781838507,-0.0002796890474397462,,780.2431451627907,384.229531343657
604,119.806,0.1472,-0.0031077868269975273,-0.0030077868269975314,-0.0008698888130392879,,780.2431625581396,384.22952277734447
605,119.8255,0.1472,-0.002931148607846025,-0.002831148607846022,-0.0012639473921404187,,780.2431806976745,384.22951384455916
606,119.847,0.1472,-0.0027569064687815587,-0.002656906468781556,-0.0014676530049954062,,780.2432006976745,384.2295039955912
607,119.864,0.1471,-0.0025772731495212683,-0.0024772731495212655,-0.0014496527919041213,,780.2432165116279,384.2294962080356
608,119.8819,0.147,-0.002398718066300154,-0.002298718066300151,-0.0011359937440020285,,780.2432331627907,384.2294880081978
609,119.9011,0.1469,-0.0023217204351355797,-0.002221720435135577,-0.0008286052680401279,,780.2432510232559,384.22947921284157
610,119.9217,0.1468,-0.002146400060031965,-0.0020464000600319623,-0.0003279697157059225,,780.2432701860465,384.2294697761577
611,119.9407,0.1466,-0.002069162820858707,-0.001969162820858711,-1.9616536368560755e-05,,780.2432878604652,384.22946107242046
612,119.9603,0.1466,-0.0018926444057115605,-0.0017926444057115576,0.000185842532842595,,780.2433060930233,384.22945209382897
613,119.9796,0.1465,-0.001815766578551349,-0.0017157665785513462,0.00019274865711682576,,780.2433240465117,384.2294432526652
614,120.0002,0.1464,-0.0017404462034477028,-0.001540446203447704,9.338420945104176e-05,,780.2433432093023,384.2294338159831
615,120.0183,0.1462,-0.0015621307282352725,-0.0014621307282352697,6.078553977717505e-06,,780.2433600465117,384.2294255245297
616,120.0376,0.1463,-0.001485252901075082,-0.0013852529010750791,1.298467825205929e-05,,780.243378,384.2294166833672
617,120.0557,0.1465,-0.0013069374258626518,-0.0013069374258626518,-0.00047432097722138744,,780.2433948372094,384.2294083919146
618,120.0746,0.1466,-0.0012295803826850374,-0.0011295803826850415,-0.0008654854461963013,,780.2434124186047,384.2293997339894
619,120.095,0.1463,-0.0011540203995727139,-0.001054020399572711,-0.0011638851904867131,,780.2434313953489,384.2293903889276
620,120.1152,0.1462,-0.0010782208084516715,-0.0009782208084516755,-0.0011613202314016413,,780.2434501860465,384.22938113548463
621,120.1338,0.1462,-0.0010005043532609961,-0.0009005043532609933,-0.0006510376453134903,,780.2434674883722,384.22937261498794
622,120.1522,0.1462,-0.0009225482900616297,-0.0008225482900616268,0.00016020964415008887,,780.2434846046513,384.22936418610993
623,120.1723,0.1462,-0.0008466288949362313,-0.0007466288949362354,0.0005632569549227084,,780.2435033023256,384.2293549784773
624,120.1913,0.1462,-0.0007693916557629799,-0.000669391655762977,0.0006716101342601477,,780.2435209767442,384.22934627474535
625,120.2103,0.1461,-0.0006921544165897214,-0.0006921544165897214,0.000579963313597498,,780.2435386511628,384.22933757101384
626,120.2297,0.1461,-0.000715396393433862,-0.000615396393433866,0.00028638708618405895,,780.2435566976744,384.2293286840462
627,120.2476,0.1462,-0.0006368413102127504,-0.0005368413102127476,-9.995386591388211e-05,,780.2435733488372,384.22932048421563
628,120.2668,0.1464,-0.0005598436790482039,-0.00045984367904820106,-0.000692565389951938,,780.2435912093024,384.229311688867
629,120.2865,0.1467,-0.0005834450679053846,-0.0004834450679053817,-0.00108758867242853,,780.2436095348837,384.2293026644733
630,120.3057,0.1467,-0.000506447436740845,-0.00040644743674084216,-0.0007802001964664629,,780.2436273953489,384.22929386912557
631,120.3241,0.1469,-0.0004284913735414786,-0.00032849137354147573,-6.895290700287271e-05,,780.243644511628,384.229285440251
632,120.3441,0.1472,-0.00035245217441172427,-0.00035245217441172427,0.0003345767554574497,,780.2436631162791,384.2292762784312
633,120.3629,0.1474,-0.0003749753272297568,-0.00027497532722976087,0.0006438946381702171,,780.2436806046512,384.229267666321
634,120.3809,0.1476,-0.00029654004801297346,-0.00029654004801297346,0.0007570713343845736,,780.2436973488373,384.22925942068395
635,120.4008,0.1477,-0.0003203810448788938,-0.00022038104487889093,0.00046108334853262045,,780.2437158604652,384.2292503046745
636,120.4218,0.148,-0.00024553988579267133,-0.00014553988579266847,5.978949411600265e-05,,780.2437353953488,384.2292406847655
637,120.4394,0.1481,-0.0001666253905584919,-0.00016662539055848496,-0.0005251044029188079,,780.243751767442,384.22923262236594
638,120.4581,0.1475,-0.00018902873937216846,-0.00018902873937216153,-0.0008153041685183271,,780.2437691627907,384.2292240560668
639,120.4769,0.1472,-0.00011155189219019812,-0.00011155189219019812,-0.0008059862858055822,,780.2437866511628,384.22921544395894
640,120.4949,0.1474,-0.00013311661297343846,-0.00013311661297343846,-0.0004928095895911921,,780.2438033953489,384.22920719832416
641,120.5148,0.1474,-5.695760983932818e-05,-5.695760983932818e-05,0.00021120242455691107,,780.2438219069768,384.2291980823172
642,120.5329,0.1475,-7.864213462692449e-05,-7.864213462692449e-05,0.00042389676908349827,,780.2438387441861,384.22918979087405
643,120.552,0.1471,-0.00010152469945802489,-1.5246994580289663e-06,0.0007317675967331572,,780.243856511628,384.2291810413405
644,120.5709,0.1471,-0.00012416765628038562,-2.4167656280389693e-05,0.0009406031277582882,,780.2438740930234,384.22917238342546
645,120.5913,0.1472,-4.860767316806208e-05,-4.860767316806208e-05,0.0008422033834677989,,780.2438930697675,384.22916303837485
646,120.6092,0.1475,-7.005258994694646e-05,2.99474100530564e-05,0.0006558624313698913,,780.2439097209303,384.2291548385513
647,120.6279,0.1477,7.54406123937984e-06,7.54406123937984e-06,0.0001656626657703386,,780.2439271162791,384.22914627225566
648,120.6461,0.1479,-1.4260267552572425e-05,-1.4260267552572425e-05,-0.0003221253413906999,,780.2439440465117,384.22913793500567
649,120.6653,0.1478,-3.7262636388001036e-05,6.273736361199489e-05,-0.0006147368654287333,,780.2439619069768,384.2291291396655
650,120.6853,0.1476,-6.122343725824958e-05,3.8776562741746345e-05,-0.0005112072029683223,,780.2439805116279,384.2291199778532
651,120.7039,0.1473,1.649301793239799e-05,1.649301793239799e-05,-0.0002009246168801493,,780.2439978139536,384.22911145736805
652,120.7226,0.1473,-5.910330881278569e-06,-5.910330881278569e-06,0.0003088756175202989,,780.2440152093023,384.2291028910744
653,120.7425,0.1476,-2.9751327747198908e-05,7.024867225280396e-05,0.0007128876316683241,,780.2440337209302,384.22909377507233
654,120.7623,0.1482,4.6527479391267335e-05,4.6527479391267335e-05,0.0011173819975041632,,780.2440521395349,384.22908470487977
655,120.7795,0.1476,2.5921190642846925e-05,2.5921190642846925e-05,0.001134417507220098,,780.244068139535,384.2290768257229
656,120.7987,0.1467,2.9188218074183148e-06,0.00010291882180742118,0.0008418059831821201,,780.244086,384.2290680303856
657,120.8166,0.1472,-1.8526094971466067e-05,8.14739050285368e-05,0.00035546503108419003,,780.2441026511628,384.2290598305661
658,120.8368,0.1478,5.727349614956939e-05,5.727349614957633e-05,-0.00014197000983084962,,780.2441214418606,384.229050577139
659,120.8599,0.1466,2.959877114442483e-05,2.9598771144431768e-05,-0.00045339324968912686,,780.2441429302326,384.22903999525016
660,120.8773,0.1466,8.752874387292497e-06,0.00010875287438729536,-0.00043732244334865333,,780.2441591162791,384.2290320244771
661,120.8963,0.147,-1.400988643942419e-05,8.599011356057867e-05,-0.00012896926401118058,,780.2441767906977,384.2290233207598
662,120.9164,0.1469,6.190950868597417e-05,6.190950868597417e-05,0.00047407804676147247,,780.2441954883722,384.2290141131435
663,120.9371,0.1471,3.7110079785233896e-05,3.7110079785233896e-05,0.0009742312474079751,,780.2442147441861,384.2290046306734
665,120.9764,0.1477,9.002710607520364e-05,9.002710607520364e-05,0.0011846670341426613,,780.2442513023257,384.2289866277243
666,120.9941,0.1482,6.882179730503118e-05,6.882179730503118e-05,0.0008992907854200038,,780.2442677674419,384.2289785195263
667,121.0137,0.1486,4.534021245217873e-05,4.534021245217873e-05,0.0003047498546312477,,780.2442860000001,384.2289695409573
668,121.0322,0.1479,0.00012317647164718226,2.3176471647186336e-05,-0.0002844852075928883,,780.2443032093024,384.2289610662879
669,121.0507,0.1481,0.00010101273084218987,0.00010101273084218987,-0.0003737202698170239,,780.2443204186047,384.2289525916189
670,121.0712,0.148,7.645290995018927e-05,7.645290995018927e-05,-0.0002726023657951826,,780.2443394883721,384.22894320076995
671,121.0901,0.148,5.380995312780079e-05,5.380995312780079e-05,3.623316522993747e-05,,780.2443570697675,384.22893454286566
672,121.1086,0.1476,3.16462123228084e-05,3.16462123228084e-05,0.00034699810300581335,,780.2443742790698,384.22892606819784
673,121.1279,0.1472,0.00010852403948302669,0.00010852403948302669,0.0007539042272800556,,780.2443922325582,384.2289172270583
674,121.1469,0.1472,8.576127865628225e-05,8.576127865628225e-05,0.0010622574066174173,,780.2444099069768,384.2289085233462
675,121.167,0.1476,6.168067378167774e-05,6.168067378167774e-05,0.00126530471739017,,780.2444286046513,384.22889931573536
676,121.1887,0.1476,3.5683204837461124e-05,0.000135683204837464,0.0011606344011596548,,780.2444487906977,384.2288893751809
677,121.2086,0.1475,0.00011184220797153671,0.00011184220797154365,0.0009646464153077461,,780.2444673023257,384.228880259189
678,121.2245,0.1471,9.279337127968829e-05,9.279337127969522e-05,0.0005879524969636951,,780.2444820930233,384.22887297555764
679,121.243,0.1473,7.062963047472365e-05,0.0001706296304747265,0.0001987174347396481,,780.2444993023256,384.2288645008925
680,121.2614,0.1478,4.8585693674087216e-05,0.00014858569367409008,-9.003527579676263e-05,,780.2445164186047,384.2288560720368
681,121.283,0.1471,0.00012270802873420167,0.00012270802873420167,-0.00029422324033956393,,780.244536511628,384.2288461772936
683,121.3192,0.1474,7.933897915903682e-05,0.00017933897915903968,-6.883455128636751e-05,,780.2445701860465,384.228829594438
684,121.3377,0.1474,0.00015717523835407504,0.00015717523835407504,0.00034193038648949736,,780.2445873953488,384.2288211197748
685,121.3586,0.1473,0.0001321362014446506,0.0001321362014446506,0.0009411188837606388,,780.2446068372094,384.22881154569626
686,121.3786,0.1466,0.0001081754005743743,0.0001081754005743743,0.0013446485462210722,,780.2446254418605,384.2288023838991
687,121.3954,0.1464,8.804832784337774e-05,0.00018804832784337366,0.0014636134626877517,,780.2446410697675,384.2287946879899
688,121.4155,0.1468,6.396772296877323e-05,0.00016396772296876916,0.0014666607734604709,,780.2446597674419,384.2287854803845
689,121.4354,0.1472,0.00014012672610287658,0.00014012672610287658,0.0012706727876085067,,780.2446782790698,384.2287763643975
690,121.4525,0.1469,0.00011964024135878437,0.00011964024135878437,0.0008881906490121327,,780.2446941860466,384.2287685310623
691,121.472,0.1469,9.627846051031563e-05,9.627846051031563e-05,0.0006941320699110354,,780.2447123255814,384.2287595983121
692,121.4917,0.1471,7.267707165310722e-05,7.267707165310722e-05,0.0003991087874345989,,780.2447306511629,384.2287505739443
693,121.5099,0.1474,5.087274286115495e-05,0.00015087274286115782,0.0001113207802734828,,780.2447475813954,384.2287422367115
694,121.5313,0.1469,0.00012523468593000908,0.00012523468593000908,-9.190248089396835e-05,,780.2447674883722,384.2287324335921
695,121.5508,0.1472,1.8729050815097237e-06,0.00010187290508151259,0.00011403894000500125,,780.244785627907,384.2287235008435
696,121.5687,0.1474,8.04279883026282e-05,8.04279883026282e-05,0.0006276979879069611,,780.2448022790699,384.22871530103873
697,121.5856,0.1472,6.0181111567247925e-05,6.0181111567247925e-05,0.0010461805526860712,,780.244818,384.22870755932405
699,121.6249,0.1464,0.00011309813785721073,0.00011309813785721073,0.0014566163394207354,,780.2448545581395,384.22868955640274
700,121.6428,0.146,-8.346778921669573e-06,9.165322107832635e-05,0.0015702753873228503,,780.2448712093023,384.22868135659945
701,121.6624,0.1456,6.81716362254739e-05,6.81716362254739e-05,0.0013757344565338836,,780.2448894418606,384.2286723780442
